Version,Instructions,Average Time Per Option (ms),Option Per Second,Dividends,Smoothing,Acceleration,Threads
Optimized Intel,,2.38980,418.44506,8,False,False,MultiThreaded
Release,,3.80280,262.96413,0,True,False,MultiThreaded
Release GCC-7.1,,3.28480,304.43254,0,True,False,MultiThreaded
Optimized GCC-7.1,,3.88970,257.08924,0,True,False,MultiThreaded
Graphite GCC-7.1,,2.93010,341.28528,0,True,False,MultiThreaded
Release Clang-4.0,,2.95620,338.27211,0,True,False,MultiThreaded
Optimized Clang-4.0,,2.63450,379.57867,0,True,False,MultiThreaded
Polly Clang-4.0,,2.60160,384.37884,0,True,False,MultiThreaded
Release Intel,,3.50540,285.27415,0,True,False,MultiThreaded
Optimized Intel,,3.58160,279.20482,0,True,False,MultiThreaded
Release,,3.26310,306.45705,1,True,False,MultiThreaded
Release GCC-7.1,,3.04260,328.66627,1,True,False,MultiThreaded
Optimized GCC-7.1,,3.11900,320.61558,1,True,False,MultiThreaded
Graphite GCC-7.1,,3.87240,258.23779,1,True,False,MultiThreaded
Release Clang-4.0,,2.66840,374.75641,1,True,False,MultiThreaded
Optimized Clang-4.0,,2.82170,354.39629,1,True,False,MultiThreaded
Polly Clang-4.0,,2.82480,354.00736,1,True,False,MultiThreaded
Release Intel,,3.20980,311.54589,1,True,False,MultiThreaded
Optimized Intel,,2.75590,362.85787,1,True,False,MultiThreaded
Release,,3.92710,254.64083,2,True,False,MultiThreaded
Release GCC-7.1,,3.93120,254.37525,2,True,False,MultiThreaded
Optimized GCC-7.1,,3.31940,301.25926,2,True,False,MultiThreaded
Graphite GCC-7.1,,3.24480,308.18540,2,True,False,MultiThreaded
Release Clang-4.0,,2.96460,337.31363,2,True,False,MultiThreaded
Optimized Clang-4.0,,2.92760,341.57672,2,True,False,MultiThreaded
Polly Clang-4.0,,3.49350,286.24589,2,True,False,MultiThreaded
Release Intel,,3.30220,302.82842,2,True,False,MultiThreaded
Optimized Intel,,3.05550,327.27868,2,True,False,MultiThreaded
Release,,3.08650,323.99158,3,True,False,MultiThreaded
Release GCC-7.1,,4.25170,235.20004,3,True,False,MultiThreaded
Optimized GCC-7.1,,3.57400,279.79855,3,True,False,MultiThreaded
Graphite GCC-7.1,,3.06730,326.01963,3,True,False,MultiThreaded
Release Clang-4.0,,2.88400,346.74064,3,True,False,MultiThreaded
Optimized Clang-4.0,,3.68170,271.61366,3,True,False,MultiThreaded
Polly Clang-4.0,,2.72320,367.21504,3,True,False,MultiThreaded
Release Intel,,4.42900,225.78460,3,True,False,MultiThreaded
Optimized Intel,,4.34830,229.97493,3,True,False,MultiThreaded
Release,,3.31210,301.92325,4,True,False,MultiThreaded
Release GCC-7.1,,3.16980,315.47732,4,True,False,MultiThreaded
Optimized GCC-7.1,,3.35000,298.50746,4,True,False,MultiThreaded
Graphite GCC-7.1,,3.20830,311.69155,4,True,False,MultiThreaded
Release Clang-4.0,,4.13540,241.81458,4,True,False,MultiThreaded
Optimized Clang-4.0,,2.90510,344.22223,4,True,False,MultiThreaded
Polly Clang-4.0,,2.72590,366.85132,4,True,False,MultiThreaded
Release Intel,,3.62190,276.09818,4,True,False,MultiThreaded
Optimized Intel,,2.37400,421.22999,4,True,False,MultiThreaded
Release,,3.45950,289.05911,5,True,False,MultiThreaded
Release GCC-7.1,,3.29570,303.42568,5,True,False,MultiThreaded
Optimized GCC-7.1,,3.43210,291.36680,5,True,False,MultiThreaded
Graphite GCC-7.1,,3.26080,306.67321,5,True,False,MultiThreaded
Release Clang-4.0,,3.02230,330.87384,5,True,False,MultiThreaded
Optimized Clang-4.0,,3.11560,320.96546,5,True,False,MultiThreaded
Polly Clang-4.0,,2.99230,334.19109,5,True,False,MultiThreaded
Release Intel,,3.32780,300.49883,5,True,False,MultiThreaded
Optimized Intel,,2.83230,353.06994,5,True,False,MultiThreaded
Release,,3.58660,278.81559,6,True,False,MultiThreaded
Release GCC-7.1,,3.51640,284.38175,6,True,False,MultiThreaded
Optimized GCC-7.1,,3.40910,293.33255,6,True,False,MultiThreaded
Graphite GCC-7.1,,2.90980,343.66623,6,True,False,MultiThreaded
Release Clang-4.0,,3.99700,250.18764,6,True,False,MultiThreaded
Optimized Clang-4.0,,3.05220,327.63253,6,True,False,MultiThreaded
Polly Clang-4.0,,3.55220,281.51568,6,True,False,MultiThreaded
Release Intel,,3.60480,277.40790,6,True,False,MultiThreaded
Optimized Intel,,3.22960,309.63587,6,True,False,MultiThreaded
Release,,3.67000,272.47956,7,True,False,MultiThreaded
Release GCC-7.1,,3.41240,293.04888,7,True,False,MultiThreaded
Optimized GCC-7.1,,3.54520,282.07153,7,True,False,MultiThreaded
Graphite GCC-7.1,,4.14790,241.08585,7,True,False,MultiThreaded
Release Clang-4.0,,3.32750,300.52592,7,True,False,MultiThreaded
Optimized Clang-4.0,,3.04260,328.66627,7,True,False,MultiThreaded
Polly Clang-4.0,,2.28080,438.44265,7,True,False,MultiThreaded
Release Intel,,4.49240,222.59817,7,True,False,MultiThreaded
Optimized Intel,,3.61840,276.36524,7,True,False,MultiThreaded
Release,,4.40530,226.99930,8,True,False,MultiThreaded
Release GCC-7.1,,3.43430,291.18015,8,True,False,MultiThreaded
Optimized GCC-7.1,,3.17270,315.18896,8,True,False,MultiThreaded
Graphite GCC-7.1,,2.05290,487.11579,8,True,False,MultiThreaded
Release Clang-4.0,,3.27410,305.42745,8,True,False,MultiThreaded
Optimized Clang-4.0,,3.09350,323.25845,8,True,False,MultiThreaded
Polly Clang-4.0,,3.24890,307.79648,8,True,False,MultiThreaded
Release Intel,,3.54510,282.07949,8,True,False,MultiThreaded
Optimized Intel,,3.54930,281.74570,8,True,False,MultiThreaded
Release,,1.66870,599.26889,0,False,True,MultiThreaded
Release GCC-7.1,,0.97890,1021.55481,0,False,True,MultiThreaded
Optimized GCC-7.1,,1.51390,660.54561,0,False,True,MultiThreaded
Graphite GCC-7.1,,1.47800,676.58999,0,False,True,MultiThreaded
Release Clang-4.0,,1.90420,525.15492,0,False,True,MultiThreaded
Optimized Clang-4.0,,1.75500,569.80057,0,False,True,MultiThreaded
Polly Clang-4.0,,1.15530,865.57604,0,False,True,MultiThreaded
Release Intel,,1.87630,532.96381,0,False,True,MultiThreaded
Optimized Intel,,1.61200,620.34739,0,False,True,MultiThreaded
Release,,1.65150,605.51014,1,False,True,MultiThreaded
Release GCC-7.1,,1.21270,824.60625,1,False,True,MultiThreaded
Optimized GCC-7.1,,1.35090,740.24724,1,False,True,MultiThreaded
Graphite GCC-7.1,,1.82460,548.06533,1,False,True,MultiThreaded
Release Clang-4.0,,1.52020,657.80818,1,False,True,MultiThreaded
Optimized Clang-4.0,,1.65530,604.12010,1,False,True,MultiThreaded
Polly Clang-4.0,,1.38530,721.86530,1,False,True,MultiThreaded
Release Intel,,1.79700,556.48303,1,False,True,MultiThreaded
Optimized Intel,,2.05000,487.80488,1,False,True,MultiThreaded
Release,,1.82890,546.77675,2,False,True,MultiThreaded
Release GCC-7.1,,1.84980,540.59898,2,False,True,MultiThreaded
Optimized GCC-7.1,,1.86210,537.02809,2,False,True,MultiThreaded
